message,harm_type,harm_note
we went from slurs yesterday to this today,toxic,"References that racial slurs were used in previous stream, normalizing such behavior."
white is ass 🚮🚮🚮🗑️🗑️🗑️,toxic,Derogatory racial comment contributing to toxic racial debate in chat.
rav dropped slurs you guys are worried about an ai photo 😂,toxic,Dismisses and normalizes the use of slurs by a streamer/community member.
u shouldve been black,toxic,Racially charged comment that could be seen as inappropriate or offensive.
I fucking hate you…….,toxic,Direct hostile statement toward another user expressing hatred.
I fucking hats Trent,toxic,Hostile statement expressing hatred toward the streamer Trent.
I fucking Hate Trent,toxic,Repeated hostile statement expressing hatred toward the streamer.
A FUCKING TENNIS RACKET,toxic,"Aggressive outburst with profanity, though mild and not directed at a specific person."
"Wow, what a dumb fukkk",toxic,Direct insult using vulgar language to demean someone.
"Do any of you play this out of habit?'like smoking,lol",addiction_normalization,Compares gambling to smoking addiction and normalizes habitual/compulsive betting behavior
@greatzooted Chase isnt gay though,toxic,Uses 'gay' as an insult/pejorative term
Fu. k off noah,toxic,Direct profane insult directed at another user
Donk busy making gay videos,toxic,Homophobic insult targeting another user
Who tells a Chat you wack off for Men,toxic,Homophobic harassment mocking another user
Eddy starring in new Gay movie Brokeass Mountain,toxic,Homophobic mockery targeting another user
I been married to same woman almost 20 years he can keep gay stuff to himself lol,toxic,Dismissive homophobic comment
"been with the ol lady 34 years, married for 27, I dont wanna hear about his gay porn adventures",toxic,Homophobic harassment about another user
Talk shit in chat.. but turn around and get naked for Men,toxic,Homophobic attack on another user
I got married at 19 years old so how we still together lol,,
*** donkybich,toxic,Insult/name-calling directed at another user
The toxic guys can't find a woman lol,toxic,Mocking insult toward other users
96 🙋🏾‍♂️,,
Throw the ball bitc,toxic,Aggressive language directed at players/streamer
I'm done with this s***,toxic,Expression of frustration that could normalize tilt/chasing behavior in gambling context
Way to fuggin go siki.... always messing shit3 up,toxic,Aggressive criticism and profanity directed at a player
@stonzmvp 5/22/99 here,,
Just stick ball up ur azz jo,toxic,"Crude, vulgar insult directed at a player or streamer"
remember the surfer girl who had her arm bitten off by a shark? I'd rather her shooting threes with her nub than CJ McCollum,toxic,Mocking a real person's disability/trauma to insult an athlete
April fools is for morons like Biz,toxic,Direct insult calling another user a moron
All those banners from before my dad was born,,
My biggest bi$ch! pimply faced scorekeeper blows!,toxic,Insulting language directed at a scorekeeper with vulgar terms and personal attacks.
🖕🏾 7,toxic,"Middle finger emoji directed at a player, expressing hostility."
This Mufuka 😡,toxic,Profanity and anger directed at a player or outcome.
Im Hating... F it.. I'ma Hater...  FU BTJ,toxic,Explicit profanity directed at a player (BTJ) out of frustration.
Let 26 rot,toxic,Hostile statement wishing ill on a player.
Let the scorekeeper rot,toxic,Hostile statement wishing ill on the scorekeeper.
This 🥷🏾 off da fent,toxic,"Derogatory comment accusing someone of being on fentanyl, which is both an insult and trivializes drug use."
"Well, see y'all at 8... and remember... we don't love them ho's",toxic,Misogynistic language promoting derogatory attitudes toward women.
1/17/18,,
lol what a loser,toxic,Insulting remark calling someone a loser.
Fk tua,toxic,Profane insult directed at a player.
peckerhead hill,toxic,Mild insult/name-calling directed at a player.
I fjkn said jt is fukn loose!!,toxic,"Aggressive tone with profanity, expressing frustration at other chat members for not acknowledging their earlier comment."
IS HE FUCKING COLD?,toxic,"Aggressive tone with profanity, though mild in context."
BAmannSports watched 3 consecutive streams and sparked a watch streak! SET PREDICTION FOR TRENT OVER 2.5 BASES,persuasion,"Directing others to place a specific bet prediction, encouraging gambling action."
whoever made that prediction should be banned,toxic,"Aggressive call for banning someone over a prediction, mildly hostile tone toward other users."
this team losing for sure,persuasion,"Presents gambling outcome as certain, which could influence others to bet based on false confidence."
Bookit +9.5 cash it,persuasion,"Presents a bet as a guaranteed win ('cash it'), encouraging others to follow without acknowledging risk."
fuck sake man lock in,toxic,Mild profanity expressing frustration/aggression toward players or streamer
bro this guy is shit,toxic,Insulting a player with crude language
batting glove under the glove is an easy sign you're shit,toxic,Mocking and insulting players as incompetent
the ball is bigger than Trent's glove wtf?! my 6 yr old son wants his glove back Trent,,
Bookit moneyline +400 official half a unit play🐻,persuasion,Framing a bet as an 'official play' to persuade others to follow the wager
gootz is garbage,toxic,"Direct insult targeting a person, calling them 'garbage'."
Rav needs to call himself a slur,toxic,"Encouraging use of slurs, promoting harmful/degrading behavior."
Trent with the lanyard out like we're 16,,
post game j hits like fent,toxic,"Casual reference comparing experience to fentanyl, normalizing hard drug use"
Jovan is a fucking tank,toxic,"Mild profanity, though used as a compliment rather than directed harassment"
if Rav ever says you're shit you're SHIT,toxic,Mild toxicity normalizing insults/put-downs within the community
gootz looks like a tool,toxic,Insult directed at another person in the stream
i'll touch rav in places if he goes yard,toxic,Sexually suggestive comment directed at the streamer
Gootz is horse shit,toxic,Crude insult directed at a player/participant
holy shit Gootz is bad,toxic,Mildly aggressive criticism of a player
not co ed softball? all dudes??? yikes! 😂😂😂,toxic,Mocking/demeaning comment about the participants
special olympic team is giving yall hell,toxic,"Uses 'special olympic' as an insult, which is offensive and ableist"
joe ryan smells like shittt,toxic,Crude insult directed at a person (player or other individual).
Yamamoto is banned dude blows,toxic,Dismissive insult toward a player.
"No disrespect, my 12 year old sister fields balls better",toxic,Mocking/insulting a player's fielding ability by comparing them unfavorably to a child
fruity batting glove just isn't doing it,toxic,Use of 'fruity' as a pejorative term with homophobic connotations
"the dudes your playing probably like ""these dumbfucks are streaming this let's fucking smoke them""",toxic,Uses derogatory language ('dumbfucks') directed at the streamers
$500 on the other team,toxic,Betting against the streamer's team as a form of mockery/disrespect
Preston blows,toxic,Insulting/disparaging a person by name.
gootz goes yard or I am homeless,addiction_normalization,"Jokes about betting so much they would become homeless, normalizing reckless gambling behavior."
@BAmannSports yeah we do u simp,toxic,Insulting another user directly with a derogatory term.
motherfucker trotting out like jester,toxic,Profane language directed at a person
shut up @bamannsports,toxic,Hostile dismissal directed at another user
fuck this camera view,toxic,Aggressive profane complaint
dog shit view,toxic,"Crude, aggressive language"
@BAmannSports ure a simp,toxic,Insult directed at another user
rat shit view,toxic,"Crude, aggressive language"
yaylads blow me bro,toxic,Vulgar insult directed at another user
someone tell Rav to STFU,toxic,Hostile comment directed at streamer/player
losers,toxic,Insulting other users or bettors by calling them losers.
rav blows,toxic,Crude insult directed at a player/person.
Rav is a bitch,toxic,Vulgar insult directed at a player/person.
rav sucks,toxic,Repeated negative insult targeting a player.
rav is so bad,toxic,Continued harassment/insults toward a player.
i knew rav sucked,toxic,Persistent toxic commentary targeting a player.
like so obvious rav blows at baseball,toxic,Continued pattern of harassment toward the same player.
dookie jeter,toxic,Mocking insult directed at a player using crude language.
gootz is ass,toxic,Vulgar insult directed at a player/participant.
rat urine,toxic,"Crude, derogatory comment likely directed at performance or players."
Dookie Betts,toxic,Mocking insult directed at a player using crude wordplay.
Stick to producing gootz this is awful,toxic,Dismissive insult telling someone they shouldn't participate.
omg rav sucks,toxic,Direct insult targeting the streamer's performance.
THAT GUY WAS 85,,
you'd lose to a 13u girls team,toxic,Insulting/demeaning comment directed at the streamer or team being mocked.
😭😭😭,,
they hitting rav man lets beef em,toxic,Inciting confrontation or aggression toward opposing players.
Rav going to cry 😭😭😭,toxic,"Mocking someone for getting hurt, which is harassment."
The other team a bunch of  assholes,toxic,Insulting the opposing team with profanity.
😭😭😭,,
you guys are awful,toxic,Directly insulting the streamer/team performance in a demeaning way.
Lmaoo naw yall are bad,toxic,Mocking and insulting the players' skill level.
ahaahahah fuckin assw,toxic,Mild profanity/insult directed at players or situation
LITTLE LEAGUE PLAYS,,
holy rat meat🤡🤡🫵🫵,toxic,Mocking insult with clown emojis directed at players/team
Legit Make a Wish,toxic,Offensive joke comparing poor performance to terminally ill children's charity
unathletic,toxic,Insulting remark directed at players on the field.
The most unathletic group of people you'll ever meet,toxic,Mocking and insulting the players' athleticism.
just quit the league ngl,toxic,Dismissive insult telling players they should quit.
LMFAOOOOO this is the worst softball team ever,toxic,Harsh mocking of the team's performance.
i lost my car on. Bookit +4,addiction_normalization,Normalizes reckless gambling by casually mentioning losing a car on a bet.
you guys blow,toxic,Direct insult aimed at the streamer or players.
dead as fuck,toxic,Crude dismissive language contributing to negative atmosphere.
yall are ASS,toxic,Direct insult toward the streamers/players.
Trent u suck too lmaoo,toxic,Direct personal insult targeting a specific individual.
moose shit org,toxic,Vulgar insult directed at the organization.
yall are some unathletic motherfuckers,toxic,Vulgar personal attack insulting the streamers' athletic ability.
freudy sucks,toxic,Direct personal insult targeting a specific individual.
No outs,,
you guys would lose to a 5th grade team,toxic,Insulting and demeaning the streamer's team by comparing them unfavorably to children.
could not be a more unathletic team,toxic,Direct insult mocking the athleticism of the team members.
Yall are worse than expected,toxic,Disparaging comment directed at the team's performance.
chat says yall suck,toxic,"Relaying insults to the streamers, reinforcing negative commentary."
playing like ur drunk,toxic,Insulting comment directed at player performance comparing them to being intoxicated.
worst group athletic performance of all time,toxic,Hyperbolic insult denigrating the entire team's athletic ability.
LC and freudy are 🚮,toxic,Calling specific players 'trash' using the wastebasket emoji as an insult.
SHIT ALMOST HIT HER IN THE FACE😹😹😹,toxic,"Laughing at potential physical harm to a player, mocking near-injury."
yea ain't letting u get cheeks now,toxic,Sexual/crude language directed at another user
pussy ass krabs,toxic,Vulgar insult directed at a player/person in the stream.
holy noose,toxic,"Reference to suicide imagery, potentially harmful and inappropriate."
someone please gift a sub,persuasion,Begging for gifted subs can pressure others to spend money
gunner henderass,toxic,Crude name-calling/modification of player's name as juvenile insult
yahl garbage,toxic,Insulting a player by calling them garbage.
stop taking the dodgers you fat retard,toxic,Aggressive insult using slur and body-shaming language directed at streamer.
camera man is rat shit,toxic,Vulgar insult directed at the camera operator.
fuck preston,toxic,Aggressive profanity directed at a specific person (Preston).
fake employee,toxic,Insulting/dismissive comment targeting Preston's legitimacy.
L preston,toxic,Derogatory pile-on comment directed at Preston.
Preston such a me guy,toxic,"Insulting Preston as selfish, contributing to targeted negativity."
catch the fucking ball,toxic,Aggressive language directed at players/team expressing frustration.
outfield is ass,toxic,Crude/vulgar criticism of players.
Maybe y'all should try kickball instead,toxic,Mocking/condescending comment directed at the players suggesting they lack skill
Ice curling might be more your scene bookit,toxic,Sarcastic insult directed at another user/streamer suggesting incompetence
could literally put a cutout of LC in the outfield… you'd get the same production,toxic,Harsh insult implying a player is completely useless
rav u stink,toxic,Direct insult toward another user/player
swing gave me cancer,toxic,Using cancer as a casual insult/hyperbole to express displeasure.
my 8u team could be you guys,toxic,Mocking/insulting the players by comparing them unfavorably to 8-year-old children.
camera man tell my brother he stinks,toxic,Directing an insult at a player through the cameraman.
Trent raping the plate,toxic,"Uses a violent/sexual assault term casually, which is inappropriate and harmful language."
Anthony u suck -jake,toxic,Direct insult toward a person (streamer or player).
anthony u suck,toxic,Repeated direct insult toward a person.
anthony is assssss,toxic,Continued harassment/insults toward the same person.
rav u suck ass,toxic,Direct insult/harassment toward another user
Anthony u suck,toxic,Direct insult toward another user
tony rav is a bum,toxic,Insult/derogatory comment toward another person
JOSH IS FUCKING HIM,toxic,Aggressive language that could be interpreted as crude or inappropriate.
camera man tell my brother hes ass,toxic,Insulting comment directed at another person.
hes ass,toxic,Repeated insult toward another person.
rav swings like a lady,toxic,Sexist insult mocking a player's athletic ability by comparing them to a woman.
Coulda went,,
Rav is fucking pitiful,toxic,Aggressive insult directed at a player/participant.
rav is shit,toxic,Direct insult attacking a player.
my grandma is better than rav,toxic,Mocking/insulting a player's ability in a demeaning way.
JOSH IS FUCKING HIM,toxic,"Aggressive, vulgar language about a player."
fuck you Preston,toxic,Direct hostile language targeting a person.
Fck preston,toxic,Direct hostile language targeting a person.
fuck you preston,toxic,Direct hostile language targeting a person.
lockmyth stfuuu bro down a camera man,toxic,Telling another user to shut up in an aggressive manner.
fruedy sucks I'll say it,toxic,Direct insult targeting a player's performance.
outfield is holy dogshit,toxic,Vulgar insult directed at team performance.
yall don't even know how to throw it around,toxic,Condescending remark mocking other users or players' abilities.
is Trent fucking limping,toxic,Mild profanity/crude language in chat
Gavin Williams absolutely squirting,toxic,Crude/inappropriate sexual innuendo language
misogynist ump,toxic,"Accusatory comment labeling the umpire as misogynist without basis, introducing toxic discourse."
I haven't fielded or hit a ball since 2011 chat gimme 1 game please,,
lock the fuck in,toxic,Aggressive language pressuring performance or engagement.
we're cooked,addiction_normalization,Normalizes losing in gambling with casual resigned language.
cooked,addiction_normalization,Normalizes gambling losses with casual slang acceptance.
chat in piss,toxic,Vulgar insult directed at the chat community.
lock tf in,toxic,Aggressive language pressuring others to focus or perform.
ZOOM OUT DUMB ASS,toxic,Insult directed at the streamer/cameraman.
dude yall suck,toxic,Direct insult toward the team/streamers
outfield is so garbage,toxic,Aggressive insult directed at players
rav trash,toxic,Insulting a player/person by calling them 'trash'
rav 🗑️,toxic,Using trash emoji to insult a player/person
trent stfu,toxic,Telling someone to 'shut the f*** up' - aggressive dismissal
holy fuck the outfield is getting worked,toxic,"Mild profanity expressing frustration, borderline but flagged for language intensity."
this is a fucking muck show now,toxic,Profanity expressing frustration/negativity about the game performance
just rat shit,toxic,Crude/vulgar dismissive comment about game performance
BIEV STOP WATCHING THE LADYBOYS VIDEO AND GET ON THE PLANE!!,toxic,Uses a derogatory term with transphobic implications to mock another user.
gootz runs like he has fake legs,toxic,Mocking comment that disparages someone by referencing disability/prosthetics.
gootz acl toast,,
Get the wheelchair,toxic,Mocking an injury with insensitive comment about disability equipment
acl dust,,
FUCK TRENT. TEAM KRABS,toxic,Aggressive profanity directed at another person (Trent)
all of them just sit in front of a computer and gamble 😹 they don't workout or stretch,toxic,Mocking and insulting the streamers' lifestyle and physical habits
😭😭😭,,
🗑️🗑️🗑️,,
hit the fucking ball rav cmon,toxic,"Aggressive language directed at a player, expressing frustration with profanity."
rub some dirt on it Gootz and get back in,toxic,"Dismissive comment about someone's apparent injury or medical situation, minimizing their condition."
no wonder his gf dumped him,toxic,Personal attack mocking someone's relationship status in response to poor performance.
for one goat the fuck up!!!!,toxic,Aggressive language with profanity directed at streamer/chat
shit team,toxic,Mildly toxic dismissive comment using profanity
trent ass,toxic,Crude insult directed at a player/participant
rav ur pathetic,toxic,Direct personal insult calling someone pathetic.
rat shit org,toxic,Crude insult directed at an organization/team.
"ZERO HUSTLE, ZERO HEART",toxic,Aggressive all-caps criticism attacking players' effort and character.
"ZERO HUSTLE, ZERO HEART",toxic,Aggressive all-caps criticism attacking players' effort and character.
fart bomb @freudy_,toxic,Mildly harassing/trolling behavior directed at another user.
horrible org,toxic,Negative insult directed at the organization/team.
rav u gotta hit the batting cages - my grandma swings better,toxic,Mocking insult directed at a player's ability.
Krabs just lost 10u on the ML,addiction_normalization,Casually discussing a 10-unit loss normalizes high-stakes gambling losses.
rav your OF is horrid,toxic,Insulting/demeaning comment about a player's outfield performance.
need more beers krabs,addiction_normalization,Encouraging drinking while gambling normalizes risky behavior.
terrorist rav,toxic,Calling someone a terrorist is a harmful ethnic/racial slur and insult.
lc got pegged,toxic,Crude sexual language used to mock another person.
be honest! RAT SHXT,toxic,"Accusatory insult implying dishonesty, using derogatory language toward streamer or players."
never getting a win,toxic,"Defeatist mockery directed at the group, intended to demoralize."
unserious org,toxic,Dismissive insult undermining the organization's credibility.
ITS CHICAGO NIQQA,toxic,Use of racial slur variant in chat.
after the first win everyone's gotta shotgun,persuasion,Pressuring group participation in drinking behavior tied to gambling wins.
"I'm ready for some more bull shit, let's go",toxic,"Mild vulgarity expressing frustration/cynicism about outcomes, normalizing negative attitude toward betting"
The rig is in effect,addiction_normalization,"Promotes conspiracy thinking about rigged outcomes, which can enable continued gambling despite losses"
You idiot,toxic,Direct insult toward another user or player.
Fck you Nabers,toxic,"Profane aggression directed at a player, likely due to betting frustration."
Gimme some boutte bit¢h,toxic,Use of profanity/slur in an aggressive betting demand.
guys like Gibbs and Metcalf can have a streak of huge games but a scrub like Nabers would be ultra rare to see again,toxic,Derogatory language calling a player a 'scrub' in dismissive manner.
"Diggs running like he just choked a chef......oh,wait",toxic,"Mocking reference to Stefon Diggs' alleged altercation, making light of violence"
People fell for Henry trap,addiction_normalization,"Mocking others for losing bets, normalizing gambling losses as falling for 'traps'"
F ck inn their,toxic,Profanity/aggressive language in chat
@congocab202 made an antisemitic remark and bit a bi tch,toxic,References antisemitism and uses crude language describing someone's behavior
zooted... eyes feel.... blistered lol,addiction_normalization,"Implies being intoxicated/high while gambling, normalizing substance use during betting"
gayness,toxic,Homophobic slur used as a pejorative expression of frustration.
still rock hard from that day baseball slate yesterday,addiction_normalization,"Uses sexual language to describe excitement over gambling wins, normalizing intense emotional attachment to betting outcomes."
what a shit slate,toxic,Mildly toxic language expressing negativity about the betting options.
good morning u fossils!,toxic,Mild insult directed at other chat members by calling them old.
It's always fuck Biev,toxic,Aggressive language directed at a person named Biev.
L preston,toxic,Mocking another user/person for a loss or mistake.
preston fucked up,toxic,Negative comment criticizing someone for making an error.
Die Preston Die,toxic,"Violent language directed at a person named Preston, even if intended as a joke."
Josh was stoned. That's the key to anything in life.,addiction_normalization,Normalizes drug use as the key to success in life
ravs dad must have not thrown the baseball with him,toxic,Mocking someone by insulting their family/upbringing
Rav should 100% should be in the outfield. he's the youngest and probably the fastest,,
rav swings like a sissy,toxic,Uses gendered slur to mock and insult the streamer's athletic ability
might as well not even play if u have to wear a mask,toxic,"Mocking someone for wearing protective equipment, potentially discouraging safety measures"
I took a pick off from a pitcher to the mouth with braces playing 1st base in baseball as a kid,,
Jeff please stop bullying someone with disability,toxic,"Accusation of bullying a disabled person, potentially inflammatory or mocking disability"
Weaponizing autism is a crazy take,toxic,Using autism in a dismissive or weaponized context contributes to harmful discourse
click Braves everyday this month and you will profit,persuasion,Promoting a betting strategy with guaranteed profit framing encourages reckless gambling
if you say no you're dumb,toxic,Insults others who might disagree with the opinion being discussed.
Fuck Rony Tomo,toxic,Profane insult directed at a specific person (likely Tony Romo).
no shit degen is defending jj,toxic,Dismissive and mildly aggressive tone toward another user/streamer
degen this is your worst take ever,toxic,Direct insult toward streamer's opinion
Hes fucking terrible. Move on,toxic,Aggressive language and dismissive tone
the kids absolutely sucks,toxic,Harsh insult directed at a player
he ass,toxic,Crude dismissive insult
degen is actually showing a lack of ball knowledge by not acknowledging Jj sucks,toxic,Personal attack questioning streamer's sports knowledge
definition of gaslighting,toxic,Accusatory comment implying streamer is being manipulative
asslightmaxxing,toxic,Crude/vulgar term used inappropriately in chat.
Degen obsessed with this shit,toxic,Mildly aggressive language directed at the streamer.
Blaming steak is fucking hilarious,toxic,Profanity used in mocking tone toward chat/streamer dynamics.
Jeff Saturday thinking JJ McCarthy is good is proof CTE is real,toxic,Mocking someone by implying they have brain damage (CTE) for their opinion.
Jeff's on his bullshit,toxic,Dismissive and mildly aggressive comment about the streamer.
Glasses and still cant see,toxic,Mocking insult directed at streamer's appearance and intelligence.
THIS DUDE IS THE DEFINITION OF A FLIP FLOPPER,toxic,"Aggressive, all-caps insult attacking streamer's credibility."
Asslighter,toxic,Crude insult/name-calling directed at streamer or another user.
asslighter,toxic,Repeating crude insult/name-calling.
Degen you're making as ass out of yourself,toxic,Direct insult toward streamer calling them an embarrassment.
Who gave this man a platform?,toxic,Dismissive insult suggesting streamer is unqualified or undeserving.
you give up on him like a chick who tells you she has herpes,toxic,"Crude, offensive analogy that is demeaning and inappropriate."
gaslighting to extreme,toxic,Accusation of manipulation/gaslighting directed at streamer.
what up you fucks,toxic,Casual profanity directed at the chat community as a greeting.
degen gaslighting his listwnwrs,toxic,Accusing the streamer of manipulating their audience.
JJ is ass degen,toxic,Crude insult directed at the streamer regarding their take.
Jeff. ur getting dunked on.,toxic,Mocking the streamer in a dismissive manner.
Tom Bradys org is ratmeat,toxic,Derogatory insult toward Tom Brady's organization
he will never be a good qb,toxic,Absolute dismissive statement intended to provoke rather than discuss
"while degen is correct you can't generally write off young qbs, however Jj McCarthy is literally ratshit, he can't play qb. he can't read defenses. he has bad mechanics. he cheated in college and only handed it off. in this instance Degen is so wrong as jj is such a glaring exception",toxic,Uses vulgar language and accuses player of cheating without evidence
Nine can only win if he cheats,toxic,Accusation of cheating against another user/streamer
there is way to much JJ trash ass McCarthy talk today,toxic,Vulgar language used to insult a player
@nrfichad thanks now I know you smoke crack w fent,toxic,Accuses another user of drug use as an insult to dismiss their opinion
fuck Eli manning mf was the definition of MID,toxic,Profane and aggressive language directed at a public figure
@nrfichad what's the situation? JJ is a dogshit QB point blank period dogshit draft pick to move up,toxic,Aggressive language with repeated profanity attacking a player's abilities
still get bricked up watching that one AR 70-yd bomb highlight,toxic,Crude sexual language in public chat
I'm not mad but I do enjoy talking shit to you when you say stupid stuff,toxic,Mild hostility and insults directed at another user
"AR, quitter and shit player..strong arm, zero accuracy,",toxic,Insulting a player as a 'quitter and shit player'
puka got CTE,toxic,Mocking a player's potential brain injury
i just think he's a retard man,toxic,Using ableist slur to insult someone
Arron Hernandez type huh,toxic,Comparing player to convicted murderer
he's prob jus retarded,toxic,Using ableist slur to insult someone
i would make puka look like mr rogers if i had the money he has at 24,addiction_normalization,"Implies they would engage in reckless/wild behavior if they had money, normalizing problematic lifestyle choices associated with wealth."
Ofc Steak thinks that he supports Orlando Magic Pride night,toxic,"Mocking another user by associating their opinion with supporting Pride, used as an insult."
friend from my HS was on rams P squad 2 years ago and said Puka was a fucking problem then it's just getting worse over time. Guy just gets uncontrollably drunk,,
fuck NYC breh,toxic,Aggressive language expressing hostility toward a city/its residents.
smells like shit and arroz con pollo,toxic,"Crude, potentially ethnically-charged insult targeting NYC and its communities."
one of them definitely assaulted the other one,toxic,Making unfounded assault accusations about individuals being discussed.
I hate myself,toxic,"Self-deprecating statement in context of gambling losses, which can normalize negative emotional responses to betting outcomes."
sale actually pitched like DOGSHIT,toxic,"Crude language to express frustration, mildly toxic tone."
Emilio pagan is a terrorist,toxic,Uses inflammatory language comparing a player to a terrorist.
that pitcher Jax is ass,toxic,Crude insult directed at a player.
put it on Collin Morikawa,persuasion,Pressuring/encouraging others to place a specific bet.
Fun fact: my highschool played Byron Buxton his senior year and he had 18ks against us lmao,,
Taj is rat shit,toxic,Crude insult directed at a professional athlete.
fuck the braves,toxic,"Aggressive profanity directed at a team, contributing to hostile chat environment."
parents are R words,toxic,Using a slur reference to insult parents who named their child Ryne.
dumb name regardless of how u say it,toxic,Mocking and disparaging someone's name in a dismissive manner.
you a goofy,toxic,Mild insult directed at another user or streamer.
you a goofy,toxic,Mild insult directed at another user or streamer.
cringe,toxic,Dismissive/mocking comment toward content or users.
fuck the Olympics,toxic,Aggressive language expressing hostility.
Loser game,toxic,Dismissive negative comment that could be seen as mildly toxic toward the game/stream.
Im addicted to Coker,addiction_normalization,"Casually normalizes addiction language in a gambling context, even if referring to a player."
"new I should have never came back to these sims, with the unfair and unjust atmosphere",toxic,"Accusatory comment implying cheating/scamming, contributing to toxic atmosphere."
Stupid ass fck,toxic,"Profane insult expressing frustration, contributes to toxic chat environment."
Sutton bailout or we storming DK HQ,toxic,"Hyperbolic threat toward DraftKings headquarters, even if joking normalizes aggressive responses to betting losses."
Throw the ball jerk,toxic,"Name-calling directed at a player, mildly toxic language."
Brice you a puxxy,toxic,"Vulgar insult directed at a player, using derogatory slur."
that shit jus dumb asf,toxic,"Aggressive, dismissive comment expressing frustration in a crude manner."
You be fartin n shit?,toxic,"Crude, low-effort comment that contributes to a juvenile/disrespectful chat environment."
SHOW YOUR FACE COWARD,toxic,Aggressive insult directed at streamer or another user.
Sukh tied to the radiator in Shags basement,toxic,Disturbing joke implying captivity/violence toward another user.
it puts the lotion on the skin or it gets the hose again,toxic,Continuation of disturbing reference to captivity/torture from Silence of the Lambs.
hes a kid,,
tracking bets is only fun when we are winning,addiction_normalization,Normalizes gambling behavior by framing bet tracking as entertainment tied to winning outcomes
im 2-6 in beat the streak i need to be burned,addiction_normalization,Self-deprecating humor about losing streak normalizes continued gambling despite losses
shohei is ass,toxic,Crude insult directed at a professional player using vulgar language.
Die Preston Die,toxic,"Violent language directed at a person named Preston, even if joking."
give me Adolf over Preston,toxic,"Invokes Adolf Hitler comparison as an insult, which is offensive and inflammatory."
rav is horrible,toxic,Direct insult targeting another person (Rav) in the chat/stream.
oh my fucking god,toxic,"Mild profane outburst, though context suggests frustration rather than directed harassment"
THE UMP WAS ASS WITH HIS ZONE,toxic,Crude language expressing frustration toward the umpire
lock in,persuasion,Urging others to commit to a bet with urgency language.
im 2-6 i need to be burned,addiction_normalization,Self-deprecating language about losing streak normalizes chasing losses and gambling harm.
I'm 14 look out,,
i mean 2 chances better than 1,persuasion,"Encouraging creating multiple accounts to increase betting opportunities, normalizing system manipulation for gambling advantage."
terrible way to cheat the system,addiction_normalization,"Implies endorsement of 'cheating the system' in gambling context, normalizing exploitative behavior."
imagine betting Ant first basket and you see he's not there cause he's taking a shit,addiction_normalization,"Normalizes impulsive prop betting without research, treating gambling losses as casual entertainment."
mute his fucking mic ……,toxic,"Aggressive demand directed at streamer/production, hostile tone"
Gootz go chubby chasing in Pitt,toxic,Body-shaming and crude sexual reference directed at streamer
hope those cheating fcks miss playoffs,toxic,Aggressive language with profanity directed at a team/players.
I PUT $200 IDGAF 🤣🤣🤣🤣,addiction_normalization,Promotes reckless gambling behavior by bragging about a significant bet with a dismissive attitude toward consequences.
He does suck,toxic,"Mildly insulting comment directed at a player, though relatively low-level toxicity."
every big hitter look like dog shit,toxic,"Crude language disparaging players, mildly toxic tone."
some cocaine,toxic,Reference to illegal drug use in a gambling context normalizes harmful behavior.
Alex needs to retire from betting,toxic,Mocking or criticizing another user's betting performance in a demeaning way.
hopped back on fanduel after waiting for thsi bet to cash doubled my money. FD such an easy book to beat i love it,addiction_normalization,Promotes false belief that sportsbooks are 'easy to beat' and normalizes gambling as a reliable way to double money
turn 21 on Tuesday can't wait to get on all these sportsbooks in nc,,
you talking too much drop tickets,toxic,"Dismissive and demanding toward streamer, pressuring them to just give picks rather than explain"
@trulydondada stfu,toxic,Direct hostile language toward another user
ban that dumbass,toxic,Insulting another user and calling for them to be banned
Hit 2 or 84 numbnutz,toxic,Uses insult 'numbnutz' directed at streamer or other users
Hit 5 bit¢h,toxic,Uses profanity/slur directed aggressively at others
die preston die,toxic,"Direct death threat/wish toward streamer Preston, even if intended as hyperbole."
tail the nrfi,persuasion,Encouraging others to copy/follow a specific bet without context or risk discussion.
tail the nrfi,persuasion,"Repeated encouragement for others to follow a bet, creating social pressure to gamble."
Bookit is a punching bag of the League,toxic,Insulting another user by calling them a 'punching bag'
nah we don't want biev,toxic,Dismissive and exclusionary comment directed at another chat member
Ladyboy Swings man,toxic,Derogatory slur used as an insult toward another person's batting style.
i tailed like an idiot haha,addiction_normalization,Self-deprecating normalization of impulsive betting behavior ('tailed like an idiot') frames reckless gambling as casual and relatable.
lame ass ads wtf,toxic,Mild toxicity/aggression directed at stream content.
looking like a grandma 👵,toxic,Mocking insult directed at someone's appearance.
trent clit jr,toxic,Crude sexual wordplay directed at another user/streamer as a form of mockery.
fuck am i getting a shoutout for,toxic,Mild aggression/frustration expressed with profanity toward the streamer or chat
ur lose,toxic,Mocking/taunting another user about losing
Bobby is so shi,toxic,"Insulting comment about a person (likely streamer or player), using truncated profanity."
@chelly post the 10x I'm trynna splooge,toxic,Crude sexual language directed at another user in chat.
fuck that game,toxic,"Aggressive profanity expressing frustration, contributing to negative chat environment."
biiev is at a lady boy convention,toxic,"Derogatory slur targeting transgender individuals, mocking another user/person."
opening the next one like a crack addict,addiction_normalization,Normalizes addictive gambling behavior by comparing pack opening to drug addiction in a casual/humorous way
"90 ovr mcgonigle card just dropped, get that credit card ready brotha",persuasion,Pressures spending money on gambling/pack content with urgency framing
